,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
18,frozenset({'music'}),frozenset({'favorit'}),0.04009433962264151,0.7159703504043127,0.027358490566037737,0.6823529411764706,0.9530463667820069,-0.0013478678228144199,0.8941674153938305
19,frozenset({'favorit'}),frozenset({'music'}),0.7159703504043127,0.04009433962264151,0.027358490566037737,0.038211764705882355,0.953046366782007,-0.0013478678228144199,0.998042630542072
20,frozenset({'rate'}),frozenset({'favorit'}),0.05195417789757412,0.7159703504043127,0.0362533692722372,0.6977950713359274,0.97461448081178,-0.0009442816820569438,0.9398577675462446
21,frozenset({'favorit'}),frozenset({'rate'}),0.7159703504043127,0.05195417789757412,0.0362533692722372,0.05063529411764706,0.97461448081178,-0.0009442816820569438,0.998610772265121
22,frozenset({'song'}),frozenset({'favorit'}),0.15498652291105122,0.7159703504043127,0.1103099730458221,0.7117391304347825,0.994090230179028,-0.0006557820707492751,0.9853215596833796
23,frozenset({'favorit'}),frozenset({'song'}),0.7159703504043127,0.15498652291105122,0.1103099730458221,0.15407058823529413,0.9940902301790281,-0.0006557820707492751,0.9989172445560839
24,frozenset({'thing'}),frozenset({'favorit'}),0.029514824797843665,0.7159703504043127,0.021361185983827493,0.723744292237443,1.0108579102874027,0.0002294465311934689,1.0281403844868684
25,frozenset({'favorit'}),frozenset({'thing'}),0.7159703504043127,0.029514824797843665,0.021361185983827493,0.029835294117647057,1.0108579102874027,0.0002294465311934689,1.0003303246529793
26,frozenset({'ur'}),frozenset({'favorit'}),0.03247978436657682,0.7159703504043127,0.02142857142857143,0.6597510373443983,0.9214781547473762,-0.0018259911654230944,0.8347700677141542
27,frozenset({'favorit'}),frozenset({'ur'}),0.7159703504043127,0.03247978436657682,0.02142857142857143,0.02992941176470588,0.921478154747376,-0.0018259911654230944,0.9973709412152053
28,frozenset({'video'}),frozenset({'favorit'}),0.03369272237196765,0.7159703504043127,0.02425876010781671,0.7200000000000001,1.0056282352941177,0.00013576986508380753,1.0143916056988835
29,frozenset({'favorit'}),frozenset({'video'}),0.7159703504043127,0.03369272237196765,0.02425876010781671,0.03388235294117647,1.0056282352941177,0.00013576986508380753,1.0001962810324252
30,frozenset({'what'}),frozenset({'favorit'}),0.21320754716981133,0.7159703504043127,0.14912398921832884,0.6994310998735778,0.9768995314940135,-0.0035262930376850077,0.9449735134813404
31,frozenset({'favorit'}),frozenset({'what'}),0.7159703504043127,0.21320754716981133,0.14912398921832884,0.20828235294117647,0.9768995314940135,-0.0035262930376850077,0.9937791026296664
32,frozenset({'yall'}),frozenset({'favorit'}),0.025741239892183288,0.7159703504043127,0.021091644204851753,0.8193717277486912,1.1444213119802895,0.002661679659403813,1.572454002109458
